2001-01-20,54,Still On Your Side,BBMak
2001-01-20,55,You Make Me Sick,Pink
2001-01-20,56,There Is No Arizona,Jamie O'Neal
2001-01-20,57,We Danced,Brad Paisley
2001-01-20,58,Butterfly,Crazy Town
2001-01-20,59,Babylon,David Gray
2001-01-20,60,It's Over Now,112
2001-01-20,61,You Shouldn't Kiss Me Like This,Toby Keith
2001-01-20,62,Mamacita,Public Announcement
2001-01-20,63,Just Another Day In Paradise,Phil Vassar
2001-01-20,64,But For The Grace Of God,Keith Urban
2001-01-20,65,Wild Horses,Garth Brooks
2001-01-20,66,Loser,3 Doors Down
2001-01-20,67,www.memory,Alan Jackson
2001-01-20,68,911,Wyclef Jean Featuring Mary J. Blige
2001-01-20,69,Stranger In My House,Tamia
2001-01-20,70,This Everyday Love,Rascal Flatts
2001-01-20,71,Is That Your Chick,Memphis Bleek Featuring Jay-Z & Missy Elliott
2001-01-20,72,Thank You,Dido
2001-01-20,73,She Bangs,Ricky Martin
2001-01-20,74,The Little Girl,John Michael Montgomery
2001-01-20,75,By Your Side,Sade
2001-01-20,76,A Good Day To Run,Darryl Worley
2001-01-20,77,Stan,Eminem Featuring Dido
2001-01-20,78,X,Xzibit
2001-01-20,79,One More Day,Diamond Rio
2001-01-20,80,Rollin',Limp Bizkit
2001-01-20,81,Meanwhile Back At The Ranch,The Clark Family Experience
2001-01-20,82,Could It Be,Jaheim
2001-01-20,83,Oh No,Mos Def & Pharoahe Monch Featuring Nate Dogg
2001-01-20,84,Girls Dem Sugar,Beenie Man Featuring Mya
2001-01-20,85,You Should've Told Me,Kelly Price
2001-01-20,86,Southern Hospitality,Ludacris
2001-01-20,87,After Party,Koffee Brown
2001-01-20,88,Cha-Cha Slide,Mr. C The Slide Man
2001-01-20,89,Feels Like Love,Vince Gill
2001-01-20,90,Lady (Hear Me Tonight),Modjo
2001-01-20,91,My Baby You,Marc Anthony
2001-01-20,92,Original Prankster,The Offspring
2001-01-20,93,Can't Fight The Moonlight,LeAnn Rimes
2001-01-20,94,Liar,Profyle
2001-01-20,95,The Itch,Vitamin C
2001-01-20,96,How Many Licks?,Lil' Kim Featuring Sisqo
2001-01-20,97,Thank You In Advance,Boyz II Men
2001-01-20,98,Oklahoma,Billy Gilman
2001-01-20,99,A Little Gasoline,Terri Clark
2001-01-20,100,Bouncing Off The Ceiling (Upside Down),A*Teens
2001-01-27,1,Independent Women Part I,Destiny's Child
